customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10
63544;2008-12-18;0;0;5;2008-12-18;1;3;0;0;79;;0;;4;2;0;1;0;0;2009-12-22;2009-01-07;213;0;0;0;0;0;0;0;0;0;0;0;0;0;2
33433;2008-07-21;0;0;11;2008-07-21;0;1;2;0;48;;0;BQ;1;1;0;0;0;0;2008-07-23;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
58121;2008-11-12;1;0;9;2008-11-12;1;3;2;0;96;;0;;5;1;0;1;0;0;2008-11-14;2008-11-13;727;0;0;0;1;0;0;0;0;0;0;0;0;0;0
30635;2008-09-09;1;0;9;2008-09-09;0;1;0;0;89;;1;;1;1;0;0;0;0;2008-09-11;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
34521;2008-11-05;2;0;4;2008-11-05;0;1;0;0;26;;0;;4;1;0;0;0;0;2008-11-07;2008-11-06;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
17327;2008-12-06;1;0;4;2008-12-04;0;2;0;0;10;;1;;2;3;0;1;0;0;2008-12-09;2008-12-07;1162;0;0;0;2;1;0;0;0;0;0;0;0;0;0
57394;2008-08-05;2;0;12;2008-08-05;0;3;0;0;30;;0;;4;1;0;1;0;0;2008-08-06;2008-08-05;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
32194;2008-12-03;0;0;12;2008-12-03;0;1;2;0;07;;1;;4;2;0;0;0;0;2008-12-17;2008-12-04;229;0;1;0;1;0;0;0;0;0;0;0;0;0;0
19533;2008-05-29;1;0;5;2008-05-29;0;1;1;1;20;;0;;2;1;0;0;0;0;2008-06-11;2008-06-13;478;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6641;2008-12-16;0;0;12;2008-12-16;1;1;3;0;10;;0;;5;3;0;0;0;0;2008-12-18;2008-12-17;903;0;0;0;3;0;0;0;0;0;0;0;0;0;0
43515;2008-08-02;0;0;8;2008-08-02;0;1;0;0;02;;0;BQ;3;3;0;0;0;0;2008-08-05;2008-08-04;1312;0;0;0;2;1;0;0;0;0;0;0;0;0;0
40701;2008-09-12;1;0;4;2008-09-12;0;1;3;0;56;;0;;1;1;0;0;0;0;2008-09-16;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
23851;2008-05-23;2;0;4;2008-05-23;0;1;3;0;13;;0;;5;4;0;0;0;0;2008-06-06;2008-05-28;1043;0;0;0;0;2;0;0;1;0;0;1;0;0;0
31087;2008-04-05;1;0;4;2008-04-05;1;2;2;0;45;;1;;1;2;0;1;0;0;2008-04-08;2008-04-07;131;0;0;0;2;0;0;0;0;0;0;0;0;0;0
51743;2008-06-15;1;0;12;2008-06-15;0;1;0;0;21;;0;;4;4;0;0;0;0;2009-06-18;0000-00-00;836;0;4;0;0;0;0;0;0;0;0;0;0;0;0
38293;2008-10-17;1;0;5;2008-10-17;0;1;2;0;74;;0;;3;1;0;0;0;0;2008-10-21;2008-10-18;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2178;2008-12-17;1;0;7;2008-12-17;0;3;0;0;79;;0;;5;5;0;1;0;0;2009-12-22;2009-01-12;1117;0;0;0;3;2;0;0;0;0;0;0;0;0;0
12392;2008-11-10;2;0;8;2008-11-10;0;2;1;1;59;;0;;5;1;0;1;0;0;2008-11-11;2008-11-11;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
45047;2008-08-13;0;0;12;2008-08-13;0;2;1;1;50;;0;;3;1;0;1;0;0;2008-08-14;2008-08-15;119;0;0;0;0;0;0;0;1;0;0;0;0;0;0
54675;2008-04-29;2;0;12;2008-04-29;0;2;1;1;58;;0;;4;1;0;1;0;0;2008-04-30;2008-04-30;768;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12838;2008-07-29;1;0;4;2008-07-29;0;1;0;0;63;;0;;4;2;0;0;0;0;2008-07-31;2008-07-30;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
16675;2008-10-20;0;0;12;2008-10-20;0;1;2;0;51;;0;;3;2;0;0;0;0;2008-10-21;2008-10-20;643;0;0;0;1;0;1;0;0;0;0;0;0;0;0
28388;2008-07-04;0;0;12;2008-07-04;0;3;2;0;46;;0;;3;1;0;1;0;0;2008-07-08;2008-07-05;696;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6304;2008-07-08;0;0;12;2008-07-08;0;1;2;0;50;;0;BR;5;4;0;0;0;0;2008-07-10;2008-07-09;1582;0;0;0;0;0;4;0;0;0;0;0;0;0;0
4526;2008-08-30;0;0;12;2008-08-30;0;1;2;0;07;;1;AR;1;1;0;0;0;0;2008-09-02;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
16160;2008-08-23;1;0;5;2008-08-23;1;1;0;0;37;;0;;2;1;0;0;0;1;2008-08-26;2008-08-25;312;0;0;0;0;1;0;0;0;0;0;0;0;0;0
33871;2008-11-02;0;0;9;2008-11-02;0;2;0;0;65;;1;;1;4;0;1;0;0;2008-11-04;2008-11-03;1748;0;0;0;0;4;0;0;0;0;0;0;0;0;0
26714;2008-11-26;1;0;12;2008-11-26;0;1;3;0;59;;0;;4;4;0;0;0;0;2008-12-09;2008-12-18;665;0;0;0;0;3;0;0;0;0;0;0;0;1;0
34297;2008-04-16;2;0;12;2008-04-16;0;3;1;1;63;;0;;2;2;0;1;0;0;2008-04-17;2008-04-17;549;0;0;0;0;2;0;0;0;0;0;0;0;0;0
36460;2008-10-17;0;0;9;2008-10-17;0;1;0;0;57;;0;;3;1;0;0;0;0;2008-10-21;2008-10-18;590;0;0;0;1;0;0;0;0;0;0;0;0;0;0
49751;2008-07-30;2;0;12;2008-07-30;1;3;0;0;30;;0;;3;1;0;1;0;0;2008-07-31;2008-07-30;404;0;0;0;1;0;0;0;0;0;0;0;0;0;0
66142;2008-11-26;1;0;8;2008-11-26;0;1;0;0;91;;1;CA;3;2;0;0;0;0;2008-11-27;2008-11-26;1323;0;0;0;1;1;0;0;0;0;0;0;0;0;0
65248;2008-05-12;0;0;9;2008-05-12;0;1;0;0;27;;0;;3;2;0;0;0;0;2008-05-14;2008-05-13;397;0;0;0;2;0;0;0;0;0;0;0;0;0;0
4699;2008-11-05;0;0;9;2008-11-05;0;1;2;0;22;;0;;2;1;0;0;0;1;2008-11-19;2008-11-06;443;1;0;1;0;1;0;0;0;0;0;0;0;0;0
267;2008-11-23;0;0;2;2008-11-23;0;3;3;0;65;;1;;1;3;0;1;0;0;2008-11-25;2008-11-24;849;0;0;0;1;2;0;0;0;0;0;0;0;0;0
41343;2008-12-16;1;0;12;2008-12-16;0;1;2;0;22;;0;;3;1;0;0;0;0;2008-12-17;2008-12-16;685;0;0;0;1;0;0;0;0;0;0;0;0;0;0
22165;2008-07-26;0;0;1;2008-07-26;0;2;0;0;44;;0;;4;3;0;1;0;0;2008-07-29;2008-07-28;1010;0;0;0;0;0;3;0;0;0;0;0;0;0;0
27347;2008-11-20;1;0;4;2008-11-20;0;1;0;0;01;;0;;3;1;0;0;0;0;2009-11-24;0000-00-00;753;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18255;2008-07-30;0;0;8;2008-07-30;0;1;2;0;57;;0;;3;1;0;0;0;0;2008-08-01;2008-07-31;603;0;0;0;0;0;1;0;0;0;0;0;0;0;0
11972;2008-08-18;0;0;9;2008-08-18;0;3;1;1;99;;0;;4;6;0;1;0;0;2008-08-20;2008-08-19;952;0;0;0;5;0;0;0;0;0;0;0;0;0;1
42793;2008-09-17;2;0;12;2008-09-17;0;3;0;0;24;24;0;;5;2;0;1;0;0;2009-09-22;2008-11-17;626;0;0;0;1;0;1;0;0;0;0;0;0;0;0
56651;2008-06-11;2;0;12;2008-06-11;1;3;0;0;17;;0;;4;1;0;1;0;0;2008-06-12;2008-06-11;720;0;0;0;1;0;0;0;0;0;0;0;0;0;0
831;2008-08-27;0;0;12;2008-08-27;0;1;1;1;42;;0;;2;1;0;0;0;0;2008-08-28;2008-08-28;593;0;0;0;0;0;0;0;0;0;0;0;0;0;2
31942;2008-04-20;2;0;4;2008-04-20;0;3;2;0;55;;1;;4;4;0;1;0;0;2008-04-22;2008-04-21;563;0;0;0;2;2;0;0;0;0;0;0;0;0;0
33189;2008-06-16;0;0;2;2008-06-16;1;1;0;0;06;;0;BR;5;5;0;0;0;0;2008-06-17;2008-06-16;1766;0;0;0;1;0;4;0;0;0;0;0;0;0;0
50942;2008-11-24;1;0;12;2008-11-24;0;1;0;0;13;;0;;3;1;0;0;0;0;2008-11-25;2008-11-24;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
61410;2008-11-09;0;0;9;2008-11-04;0;2;3;0;48;;1;;1;1;0;1;0;0;2008-11-11;2008-11-10;569;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16889;2008-09-04;0;0;9;2008-09-04;0;1;2;0;72;;0;;2;1;0;0;0;1;2008-09-05;2008-09-04;557;0;0;1;0;1;0;0;0;0;0;0;0;0;0
42702;2008-09-24;0;0;9;2008-09-24;1;3;1;1;03;;0;;3;4;0;1;0;0;2009-09-28;2008-10-18;822;0;0;0;0;4;0;0;0;0;0;0;0;0;0
66052;2008-11-19;2;0;5;2008-11-19;0;1;3;0;58;;0;BQ;5;1;0;0;0;0;2008-12-03;2009-01-05;215;0;1;0;0;0;0;0;0;0;0;0;0;0;0
58651;2008-05-06;0;0;4;2008-05-06;0;2;0;0;52;;0;;3;1;0;1;0;0;2008-05-08;2008-05-07;427;0;0;0;0;0;1;0;0;0;0;0;0;0;0
44921;2009-03-12;0;0;4;2008-08-14;0;1;0;0;70;;1;BD;4;3;0;0;0;0;2009-03-13;2009-03-12;1588;0;0;0;2;1;0;0;0;0;0;0;0;0;0
27699;2008-04-27;0;0;12;2008-04-27;0;1;0;0;60;;0;;1;1;0;0;0;0;2008-04-29;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
53852;2008-05-22;2;0;11;2008-05-22;0;3;0;0;06;;0;;2;1;0;1;0;1;2008-06-04;2008-05-23;415;0;0;0;0;1;0;0;0;0;0;0;0;0;0
41491;2008-11-16;0;0;5;2008-11-16;0;3;0;0;90;;0;;2;2;0;1;0;1;2008-11-18;2008-11-17;459;0;0;0;1;1;0;0;0;0;0;0;0;0;0
18399;2008-04-10;0;0;5;2008-04-10;0;3;0;0;24;;0;;5;3;0;1;0;0;2008-04-11;2008-04-11;1177;0;0;0;2;0;0;0;0;0;0;0;0;1;0
20378;2008-09-19;0;0;9;2008-09-19;0;1;0;0;65;;1;AX;1;1;0;0;0;0;2008-09-23;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
13224;2008-12-20;1;0;8;2008-12-20;0;3;0;0;84;;0;;2;1;0;1;0;1;2008-12-23;2008-12-21;325;0;0;0;0;0;0;0;0;0;0;0;0;0;1
26328;2008-12-05;0;0;12;2008-12-05;0;1;0;0;54;;0;BQ;1;1;0;0;0;1;2008-12-08;2008-12-05;84;0;0;0;1;0;0;0;0;0;0;0;0;0;0
62484;2008-11-02;0;0;4;2008-11-02;0;1;0;0;48;;0;AB;2;1;0;0;0;1;2008-11-04;2008-11-03;801;0;0;1;1;0;0;0;0;0;0;0;0;0;0
22346;2008-12-31;1;0;9;2008-12-31;0;3;1;1;71;;0;;2;2;0;1;0;0;2009-01-01;2009-01-03;939;0;0;0;2;0;0;0;0;0;0;0;0;0;0
66195;2008-11-02;1;0;12;2008-11-02;0;1;2;0;08;;0;;2;3;0;0;0;0;2008-11-04;0000-00-00;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
4372;2008-08-17;0;0;3;2008-08-17;0;1;3;0;20;;0;BQ;2;1;0;0;0;0;2008-08-19;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
13077;2008-12-27;1;0;12;2008-12-27;0;1;1;1;24;;0;;2;1;0;0;0;0;2008-12-30;2008-12-29;391;0;0;0;0;1;0;0;0;0;0;0;0;0;0
60638;2008-07-22;0;0;9;2008-07-22;0;2;1;1;52;;0;;3;2;0;1;0;0;2009-07-24;2008-08-09;895;1;0;0;0;2;0;0;0;0;0;0;0;0;0
651;2008-12-18;1;0;8;2008-12-18;0;2;3;0;52;;1;;1;1;0;1;0;1;2008-12-22;2008-12-20;114;0;0;0;0;0;0;0;0;0;1;0;0;0;0
54633;2008-04-18;0;0;6;2008-04-18;0;3;0;0;97;;0;;3;2;0;1;0;1;2008-04-22;2008-04-19;822;0;0;0;0;2;0;0;0;0;0;0;0;0;0
17252;2008-05-19;1;0;12;2008-05-19;0;1;2;0;35;;0;;1;1;0;0;0;0;2008-05-21;0000-00-00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
62874;2008-11-02;1;0;8;2008-11-02;0;3;2;0;23;;0;;2;1;0;1;0;1;2008-11-04;2008-11-03;231;0;0;0;1;0;0;0;0;0;0;0;0;0;0
44399;2008-08-20;0;0;11;2008-08-20;0;3;0;0;24;24;0;;4;1;0;1;0;0;2008-08-22;2008-08-21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
55764;2008-08-04;0;0;9;2008-08-04;0;1;0;0;01;;0;BQ;2;2;0;0;0;1;2008-08-06;2008-08-05;1203;0;0;2;0;2;0;0;0;0;0;0;0;0;0
50751;2008-08-11;0;0;11;2008-08-11;1;1;2;0;13;;0;BR;3;3;0;0;0;0;2008-08-13;2008-08-12;839;0;0;0;0;0;3;0;0;0;0;0;0;0;0
23850;2008-09-28;0;0;4;2008-09-28;0;1;0;0;26;;0;;4;2;0;0;0;0;2008-10-14;2008-10-01;1335;0;0;0;2;0;0;0;0;0;0;0;0;0;0
23422;2008-07-17;1;0;12;2008-07-17;1;2;3;0;51;;1;;1;1;0;1;0;0;2008-07-21;2008-07-18;995;0;0;0;1;0;0;0;0;0;0;0;0;0;0
35224;2008-04-28;1;0;8;2008-04-27;0;1;2;0;77;;0;;1;1;0;0;0;0;2008-04-29;0000-00-00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
33680;2008-05-23;0;0;12;2008-05-23;1;1;0;0;41;;0;;2;1;0;0;0;1;2008-05-26;2008-05-23;367;0;0;0;1;0;0;0;0;0;0;0;0;0;0
63331;2008-04-01;0;0;4;2008-04-01;0;1;2;0;83;;0;;3;2;0;0;0;0;2008-04-02;2008-04-01;1285;0;0;0;2;0;0;0;0;0;0;0;0;0;0
7362;2008-11-14;0;0;12;2008-11-14;0;1;1;1;24;;0;;1;1;0;0;0;0;2008-11-17;2008-11-14;178;0;0;0;1;0;0;0;0;0;0;0;0;0;0
22829;2008-04-15;1;0;12;2008-04-15;0;1;3;0;80;;0;;4;1;0;0;0;0;2008-04-17;2008-04-16;454;0;0;0;0;0;0;0;0;0;0;0;0;1;0
41021;2008-09-22;2;0;4;2008-09-22;1;3;1;1;85;;0;;2;2;0;1;0;0;2008-09-24;2008-09-23;326;0;0;0;2;0;0;0;0;0;0;0;0;0;0
12151;2008-11-22;0;0;12;2008-11-22;0;2;2;0;45;;0;;4;3;0;1;0;0;2008-11-25;2008-11-24;1590;0;0;0;0;0;0;0;0;0;0;0;0;0;3
35487;2008-10-25;1;0;9;2008-10-25;0;1;3;0;06;;0;;3;1;0;0;0;1;2008-11-07;2008-11-11;102;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10131;2008-12-18;1;0;8;2008-12-18;0;1;3;0;97;;0;;2;1;0;0;0;1;2009-12-22;2009-02-24;501;0;0;0;1;0;0;0;0;0;0;0;0;0;0
37017;2008-06-10;0;0;9;2008-06-10;0;1;0;0;84;;0;;2;1;0;0;0;0;2008-06-12;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7135;2008-04-05;0;0;1;2008-04-05;0;3;1;1;23;;0;;2;1;0;1;0;0;2008-04-08;2008-04-08;289;0;0;0;2;0;0;0;0;0;0;0;0;0;0
18945;2008-08-15;0;0;4;2008-08-15;0;1;0;0;01;;0;BL;5;2;0;0;0;0;2008-09-30;2008-09-29;437;0;1;0;4;0;0;0;0;0;0;0;0;0;0
6048;2008-09-05;0;0;4;2008-09-05;0;1;0;0;58;;0;BQ;2;1;0;0;0;0;2008-09-08;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10383;2008-04-24;0;0;4;2008-04-24;1;1;1;1;13;;0;;4;2;0;0;0;0;2008-05-07;2008-04-30;612;0;0;0;1;0;0;0;0;0;0;1;0;0;0
21720;2008-08-20;0;0;9;2008-08-20;0;1;2;0;26;;0;BQ;1;1;0;0;0;0;2008-08-22;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
23335;2008-08-26;0;0;9;2008-08-26;0;1;0;0;48;48;0;;3;1;0;0;0;1;2008-08-28;2008-08-27;346;0;0;0;0;0;1;0;0;0;0;0;0;0;0
22955;2008-08-10;1;0;8;2008-08-10;0;1;0;0;35;;0;BQ;2;1;0;0;0;1;2008-08-12;2008-08-11;346;0;0;0;0;0;1;0;0;0;0;0;0;0;0
43876;2008-11-26;0;0;11;2008-11-26;1;3;1;1;24;;0;;4;4;0;1;0;0;2008-11-28;2008-11-27;1511;0;0;0;0;2;0;0;0;0;0;0;0;2;0
28684;2008-04-29;0;0;4;2008-04-29;0;2;3;0;50;;0;;4;1;0;1;0;0;2008-05-02;2008-04-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
53163;2008-11-25;0;0;4;2008-11-25;0;3;0;0;73;;0;;4;2;0;1;0;0;2008-11-26;2008-11-25;389;0;0;0;0;5;0;0;0;0;0;0;0;0;0
59850;2008-12-11;0;0;8;2008-12-11;0;1;0;0;47;;0;;3;3;0;0;0;0;2008-12-15;2009-01-13;921;0;0;0;0;3;0;0;0;0;0;0;0;0;0
44387;2008-12-15;0;0;4;2008-12-15;0;3;1;1;24;;0;;4;1;0;1;0;0;2008-12-30;2008-12-16;121;1;0;0;0;0;0;0;0;0;1;0;0;0;0
9684;2008-07-03;0;0;4;2008-07-03;0;1;0;0;71;;0;;4;3;0;0;0;0;2009-07-07;2009-04-27;828;0;1;0;0;2;0;0;0;0;0;0;0;0;0
31353;2008-04-14;0;0;4;2008-04-14;0;1;0;0;23;;0;BL;4;3;0;0;0;0;2008-04-29;2008-04-16;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
15098;2008-10-21;2;0;12;2008-10-21;0;1;0;0;08;;0;BQ;4;2;0;0;0;0;2009-10-23;2008-12-16;425;0;0;0;2;0;0;0;0;0;0;0;0;0;0
48672;2008-06-22;0;0;0;2008-06-22;0;1;0;0;66;;0;BR;5;6;0;0;0;0;2008-06-24;2008-06-23;2920;0;0;0;0;0;6;0;0;0;0;0;0;0;0
61340;2008-09-03;1;0;9;2008-09-03;0;1;0;0;01;;1;AR;1;1;0;0;0;0;2008-09-04;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8982;2008-09-29;0;0;9;2008-09-29;0;2;2;0;54;;1;;1;1;0;1;0;0;2008-10-01;2008-09-30;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
50282;2008-08-16;0;0;4;2008-08-16;0;3;0;0;64;;0;;4;2;0;1;0;0;2008-09-02;2008-08-29;1071;0;0;0;0;0;0;0;0;0;0;0;0;2;0
32389;2008-12-29;1;0;9;2008-12-29;0;1;0;0;02;;0;;4;3;0;0;0;0;2008-12-31;2008-12-30;832;0;0;0;3;0;0;0;0;0;0;0;0;0;0
33000;2008-10-30;0;0;11;2008-10-30;0;1;0;0;23;;1;AX;1;1;0;0;0;0;2008-11-03;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
54074;2008-12-19;0;0;9;2008-12-19;0;3;0;0;90;;0;;3;3;0;1;0;0;2008-12-23;2008-12-19;709;0;0;0;1;0;0;0;0;0;0;0;0;1;1
29855;2008-05-26;2;0;9;2008-05-26;0;3;2;0;76;;0;;4;2;0;1;0;0;2008-05-28;2008-05-27;1308;0;0;0;2;0;0;0;0;0;0;0;0;0;0
45406;2008-04-09;0;0;11;2008-04-09;0;1;0;0;86;;1;CA;5;1;0;0;0;0;2008-04-10;2008-04-09;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1831;2008-07-21;0;0;1;2008-07-21;1;2;0;0;44;;0;;4;4;0;1;0;0;2008-07-23;2008-07-22;819;0;0;0;4;0;0;0;0;0;0;0;0;0;0
64940;2008-10-16;0;0;8;2008-10-16;0;1;1;1;26;;0;;1;1;0;0;0;0;2008-10-20;2008-10-17;446;0;0;0;1;0;0;0;0;0;0;0;0;0;0
8544;2008-10-15;1;0;4;2008-10-15;0;2;3;0;46;50;1;;2;4;0;1;0;0;2008-10-16;2008-10-15;553;0;0;0;0;0;0;0;4;0;0;0;0;0;0
64426;2008-10-03;1;0;0;2008-10-03;0;3;0;0;12;;0;;5;3;0;1;0;0;2008-10-07;2008-10-05;1493;0;0;0;1;0;2;0;0;0;0;0;0;0;0
10809;2008-09-21;0;0;4;2008-09-21;0;1;0;0;24;;1;AX;1;1;0;0;0;0;2008-09-23;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
17274;2008-10-05;1;0;9;2008-10-05;0;1;2;0;52;;0;BQ;2;1;0;0;0;1;2008-10-07;2008-10-06;162;0;0;0;0;0;0;0;0;0;0;0;0;1;0
64296;2008-07-12;0;0;9;2008-07-12;0;1;2;0;84;;0;;4;1;0;0;0;0;2008-07-15;2008-07-14;860;0;0;0;1;0;0;0;0;0;0;0;0;0;0
51287;2008-08-25;0;0;8;2008-08-25;0;1;0;0;21;;1;AR;1;1;0;0;0;0;2008-08-26;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
